           NAME           TYPE              S           X            PX              Y             PY              Z             Pt    
      BEGINNING          DRIFT              0    5.27504e-09   -2.59955e-09   -4.96056e-12    8.54342e-11              0              0
           BPM1            BPM              0    5.27504e-09   -2.59955e-09   -4.96056e-12    8.54342e-11              0              0
            LBT            LBT              0    5.27504e-09   -2.59976e-09   -4.96056e-12    8.54409e-11              0    3.24961e-11
            IP6       BEAMBEAM              0    5.27499e-09   -3.56591e-09   -4.94439e-12    9.52952e-11              0    3.24961e-11
           ILBT           ILBT              0    5.27499e-09   -3.56563e-09   -4.94439e-12    9.52878e-11              0   -1.20766e-11
       PB_SOL_R          PATCH              0    5.27664e-09     -0.0249974   -4.94439e-12    9.52878e-11    1.31903e-10   -1.20766e-11
  STAR_DETECT_R          DRIFT              2     -0.0500104     -0.0249974    1.85691e-10    9.52878e-11   -0.000625166   -1.20766e-11
       PE_SOL_R          PATCH        1.99938   -1.88749e-09     -0.0249974    1.85631e-10    9.52878e-11   -0.000624971   -1.20766e-11
   PE_SOL_R_ROT          PATCH        1.99938    -1.8869e-09   -3.56563e-09    1.85631e-10    9.52878e-11   -0.000624971   -1.20766e-11
         O1PR#1          DRIFT        5.29938   -1.36535e-08   -3.56563e-09    5.00081e-10    9.52878e-11   -0.000624971   -1.20766e-11
         VKICK2         KICKER        5.29938   -1.36535e-08   -3.56563e-09    5.00081e-10    9.52567e-11   -0.000624971   -1.20766e-11
           BPM4            BPM        5.29938   -1.36535e-08   -3.56563e-09    5.00081e-10    9.52567e-11   -0.000624971   -1.20766e-11
          Q1APR           MULT        7.09938   -2.22067e-08   -6.14671e-09    5.99311e-10    1.25548e-11   -0.000624971   -1.20766e-11
         O1PR#2          DRIFT        7.59938     -2.528e-08   -6.14671e-09    6.05588e-10    1.25548e-11   -0.000624971   -1.20766e-11
          Q1BPR           MULT        8.99938    -3.6169e-08   -9.61612e-09    5.74838e-10   -5.58955e-11   -0.000624971   -1.20766e-11
         O1PR#3          DRIFT        10.4994   -5.05932e-08   -9.61612e-09    4.90995e-10   -5.58955e-11   -0.000624971   -1.20766e-11
         HKICK2         KICKER        10.4994   -5.05932e-08   -7.79088e-09    4.90995e-10   -5.59249e-11   -0.000624971   -1.20766e-11
           Q2PR           MULT        14.9994   -6.84515e-08    2.39606e-10    3.63156e-10   -3.60104e-12   -0.000624971   -1.20766e-11
         O1PR#4          DRIFT        37.9994   -6.29406e-08    2.39606e-10    2.80332e-10   -3.60104e-12   -0.000624971   -1.20766e-11
         HKICK1         KICKER        37.9994   -6.29406e-08   -5.97348e-10    2.80332e-10   -3.60821e-12   -0.000624971   -1.20766e-11
         VKICK1         KICKER        37.9994   -6.29406e-08   -5.97348e-10    2.80332e-10   -3.61537e-12   -0.000624971   -1.20766e-11
           Q3PR           MULT        39.4994   -6.34086e-08   -2.59349e-11    2.76799e-10   -1.10144e-12   -0.000624971   -1.20766e-11
         O1PR#5          DRIFT        39.9994   -6.34216e-08   -2.59349e-11    2.76248e-10   -1.10144e-12   -0.000624971   -1.20766e-11
           BPM2            BPM        39.9994   -6.34216e-08   -2.59349e-11    2.76248e-10   -1.10144e-12   -0.000624971   -1.20766e-11
        DRIFTCC          DRIFT        47.5994   -6.36187e-08   -2.59349e-11    2.67877e-10   -1.10144e-12   -0.000624971   -1.20766e-11
        CCMULT1         CCMULT        47.5994   -6.36187e-08   -2.59349e-11    2.67877e-10   -1.10144e-12   -0.000624971   -1.20766e-11
        DRIFTCC          DRIFT        55.1994   -6.38158e-08   -2.59349e-11    2.59506e-10   -1.10144e-12   -0.000624971   -1.20766e-11
            OFL          DRIFT        55.6994   -6.38287e-08   -2.59349e-11    2.58955e-10   -1.10144e-12   -0.000624971   -1.20766e-11
           Q4PR           MULT        57.1994   -6.20081e-08    2.44166e-09    2.64904e-10    9.07144e-12   -0.000624971   -1.20766e-11
           O2PR          DRIFT        73.8687   -2.13073e-08    2.44166e-09    4.16118e-10    9.07144e-12   -0.000624971   -1.20766e-11
           B1PR      SBENDMULT        77.5687   -1.22736e-08    2.44187e-09    4.49623e-10    9.03763e-12   -0.000624971   -1.20766e-11
           O2FL          DRIFT        78.5687    -9.8317e-09    2.44187e-09     4.5866e-10    9.03763e-12   -0.000624971   -1.20766e-11
           Q5PR           MULT        80.0687   -6.76986e-09     1.6874e-09    4.40644e-10   -3.27821e-11   -0.000624971   -1.20766e-11
            OFL          DRIFT        80.5687   -5.92615e-09     1.6874e-09    4.24253e-10   -3.27821e-11   -0.000624971   -1.20766e-11
           O3PR          DRIFT        87.3437    5.50594e-09     1.6874e-09    2.02155e-10   -3.27821e-11   -0.000624971   -1.20766e-11
    S_CQT06Y4#1          DRIFT        87.7681    6.22217e-09     1.6874e-09    1.88241e-10   -3.27821e-11   -0.000624971   -1.20766e-11
         TQ4_PR           MULT        88.5181    7.39017e-09    1.41963e-09    1.66311e-10   -2.58418e-11   -0.000624971   -1.20766e-11
    S_CQT06Y4#2          DRIFT        88.6482    7.57483e-09    1.41963e-09    1.62949e-10   -2.58418e-11   -0.000624971   -1.20766e-11
         QD4_PR           MULT        90.4602    8.83794e-09   -6.26351e-11    1.40249e-10    1.24134e-13   -0.000624971   -1.20766e-11
