           NAME           TYPE              S          BETA1          ALFA1            MU1          BETA2          ALFA2            MU2           ETAX          ETAXP           ETAY          ETAYP
      BEGINNING          DRIFT              0       0.799415    -0.00350075    1.17264e-17      0.0716683      0.0199531    1.93152e-17    9.02754e-05   -8.74068e-05   -7.86121e-07    1.38413e-05
           BPM1            BPM              0       0.799415    -0.00350075    1.17264e-17      0.0716683      0.0199531    1.93152e-17    9.02754e-05   -8.74068e-05   -7.86121e-07    1.38413e-05
            IP6          DRIFT              0       0.799415    -0.00350075    1.17264e-17      0.0716683      0.0199531    1.93152e-17    9.02754e-05   -8.74068e-05   -7.86121e-07    1.38413e-05
       PB_SOL_R          PATCH              0       0.799915    -0.00350075   -2.84711e-11      0.0716683      0.0199531   -3.17575e-10    9.03036e-05     -0.0250848   -7.86121e-07    1.38413e-05
  STAR_DETECT_R          DRIFT              2        5.82391       -2.50614       0.189018        55.8616       -27.9062       0.247474   -8.46131e-05     -0.0250848     2.6905e-05    1.38413e-05
       PE_SOL_R          PATCH        1.99938        5.82077       -2.50536       0.189001        55.8267       -27.8975       0.247473   -8.45585e-05     -0.0250848    2.68963e-05    1.38413e-05
   PE_SOL_R_ROT          PATCH        1.99938        5.81714       -2.50536       0.189001        55.8267       -27.8975       0.247473   -8.45321e-05   -8.74068e-05    2.68963e-05    1.38413e-05
         O1PR#1          DRIFT        5.29938        35.9751       -6.63343       0.225629        391.961       -73.9613       0.251023   -0.000372964   -8.74068e-05    7.25723e-05    1.38413e-05
         VKICK2         KICKER        5.29938        35.9751       -6.63343       0.225629        391.961       -73.9613       0.251023   -0.000372964   -8.74068e-05    7.25723e-05    1.38413e-05
           BPM4            BPM        5.29938        35.9751       -6.63343       0.225629        391.961       -73.9613       0.251023   -0.000372964   -8.74068e-05    7.25723e-05    1.38413e-05
          Q1APR           MULT        7.09938        79.1216       -19.4162        0.23124        560.066       -11.0377       0.251608   -0.000587807    -0.00015656    8.70028e-05    1.83724e-06
         O1PR#2          DRIFT        7.59938        99.7321       -21.8049       0.232136        571.159       -11.1474       0.251749   -0.000666084    -0.00015656    8.79214e-05    1.83724e-06
          Q1BPR           MULT        8.99938         194.24       -49.2677        0.23378        512.838        50.5567        0.25215   -0.000945224   -0.000247534    8.34768e-05   -8.10175e-06
         O1PR#3          DRIFT        10.4994        370.172         -68.02        0.23467        372.386        43.0778       0.252696    -0.00131651   -0.000247534    7.13242e-05   -8.10175e-06
         HKICK2         KICKER        10.4994        370.172         -68.02        0.23467        372.386        43.0778       0.252696    -0.00131651   -0.000247534    7.13242e-05   -8.10175e-06
           Q2PR           MULT        14.9994        804.725       -9.19686        0.23586        198.964        2.60957       0.255588    -0.00196396    -2.6241e-05    5.28636e-05   -4.94205e-07
         O1PR#4          DRIFT        37.9994        1284.04       -11.6429       0.239461        99.6888        1.70676       0.281697    -0.00256751    -2.6241e-05     4.1497e-05   -4.94205e-07
         HKICK1         KICKER        37.9994        1284.04       -11.6429       0.239461        99.6888        1.70676       0.281697    -0.00256751    -2.6241e-05     4.1497e-05   -4.94205e-07
         VKICK1         KICKER        37.9994        1284.04       -11.6429       0.239461        99.6888        1.70676       0.281697    -0.00256751    -2.6241e-05     4.1497e-05   -4.94205e-07
           Q3PR           MULT        39.4994        1301.57     0.00962223       0.239646         95.968       0.784995       0.284143    -0.00258941   -2.91885e-06    4.10355e-05   -1.21795e-07
         O1PR#5          DRIFT        39.9994        1301.56     0.00923805       0.239707        95.1872       0.776574       0.284976    -0.00259087   -2.91885e-06    4.09746e-05   -1.21795e-07
           BPM2            BPM        39.9994        1301.56     0.00923805       0.239707        95.1872       0.776574       0.284976    -0.00259087   -2.91885e-06    4.09746e-05   -1.21795e-07
    O_CRAB_IP6R          DRIFT        55.1994        1301.46    -0.00244125       0.241565        75.4703       0.520588       0.313673    -0.00263523   -2.91885e-06    3.91233e-05   -1.21795e-07
            OFL          DRIFT        55.6994        1301.46    -0.00282543       0.241627         74.954       0.512167       0.314731    -0.00263669   -2.91885e-06    3.90624e-05   -1.21795e-07
           Q4PR           MULT        57.1994        1226.75        48.8299       0.241814        77.8696       -2.49373       0.317887    -0.00256423    9.90687e-05    4.00269e-05    1.41405e-06
           O2PR          DRIFT        73.8687         139.13        16.4174       0.248237        186.765         -4.039       0.339957   -0.000912853    9.90687e-05     6.3598e-05    1.41405e-06
           B1PR      SBENDMULT        77.5687        44.2631        9.22319       0.255744        217.865       -4.36503       0.342876     -0.0319959     -0.0169013    6.88208e-05    1.40888e-06
           O2FL          DRIFT        78.5687        27.7612        7.27874       0.260284        226.687       -4.45708       0.343592     -0.0488973     -0.0169013    7.02297e-05    1.40888e-06
           Q5PR           MULT        80.0687        12.4487        3.39455       0.273439        209.211        15.5674       0.344664     -0.0782464     -0.0226795    6.75078e-05   -4.99623e-06
            OFL          DRIFT        80.5687        9.30567        2.89156       0.280835        193.935        14.9858       0.345059     -0.0895861     -0.0226795    6.50097e-05   -4.99623e-06
           O3PR          DRIFT        87.3437         16.299       -3.92379       0.688127        44.2665        7.10552       0.356707      -0.243239     -0.0226795    3.11606e-05   -4.99623e-06
    S_CQT06Y4#1          DRIFT        87.7681        19.8112       -4.35078       0.691887        38.4441        6.61182       0.358344      -0.252865     -0.0226795    2.90399e-05   -4.99623e-06
         TQ4_PR           MULT        88.5181        26.1929       -4.07457       0.697102         30.134        4.57675       0.361869      -0.266079     -0.0124712    2.57028e-05   -3.92465e-06
    S_CQT06Y4#2          DRIFT        88.6482        27.2643       -4.16199       0.697877        28.9557        4.48202        0.36257      -0.267701     -0.0124712    2.51923e-05   -3.92465e-06
         QD4_PR           MULT        90.4602        33.5226        1.08284       0.706922        21.9392      -0.206989        0.37464        -0.2476      0.0340666    2.18176e-05    1.01283e-07
    S_CQT06Y4#3          DRIFT        91.7639        30.8094       0.998348        0.71338        22.5597      -0.268959       0.383972      -0.203188      0.0340666    2.19496e-05    1.01283e-07
 O_ROTATOR_IP6R          DRIFT        103.888        16.1278       0.212636       0.804903        36.0679      -0.845237       0.453838       0.209824      0.0340666    2.31775e-05    1.01283e-07
    S_CRT06Y5#1          DRIFT        104.311        15.9594       0.185191       0.809105        36.7923      -0.865366       0.455688       0.224251      0.0340666    2.32204e-05    1.01283e-07
         TQ5_PR           QUAD        105.061         15.718       0.136585       0.816644        38.1171      -0.901016       0.458876       0.249801      0.0340666    2.32964e-05    1.01283e-07
    S_CRT06Y5#2          DRIFT        105.192        15.6833       0.128092       0.817972        38.3541      -0.907245       0.459421       0.254265      0.0340666    2.33096e-05    1.01283e-07
         QF5_PR           QUAD        106.302        17.0452       -1.39465       0.828963          36.67        2.37472       0.464056       0.305218      0.0584869     2.2291e-05   -1.92176e-06
    S_CRT06Y5#3          DRIFT        107.607        20.9783       -1.62007       0.839952        30.7817         2.1385       0.470238       0.381524      0.0584869    1.97837e-05   -1.92176e-06
            OFL          DRIFT        108.107        22.6416       -1.70646       0.843604        28.6885        2.04797       0.472916       0.410767      0.0584869    1.88229e-05   -1.92176e-06
           B2PR          SBEND        111.807        37.6347       -2.34574       0.863832        16.0119        1.37812        0.50053       0.633966      0.0621614    1.17123e-05   -1.92182e-06
